Time,R,G,B
1665336779.146922,0.9999984033450877,0.9999889033151307,1.0045290874013444
1665336841.302981,0.9999993069548058,0.9999898069162644,1.0040235422166268
1665336874.271358,1.000003813688286,0.9999943136069306,1.0015072315108176
1665336936.390698,1.000003813688286,0.9999943136069306,1.0015072315108176
1665337009.36931,1.0050225577779752,1.0045057155048966,1.0014881121592971
1665337125.649864,1.005026173919631,1.0045093297869176,0.9994886920900868
1665337149.055148,1.005026173919631,1.0045093297869176,0.9994886920900868
1665337199.816464,1.005026173919631,1.0045093297869176,0.9994886920900868
1665337326.238912,1.0050251689274845,1.004508325311598,0.9999873210985891
1665337358.86507,1.0050251689274845,1.004508325311598,0.9999873210985891
1665337423.642044,1.0050251689274845,1.004508325311598,0.9999873210985891
